DatasetID,ID,latitude,longitude,CommonName,SpeciesName,TSN,Count,DateTime,UploadDate,ResearchOrganization,Contact,Depth,SST
328,328_4,26.429867,-76.987167,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1997/08/27 09:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,5,26.85
328,328_10,26.60225,-77.133017,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1998/09/21 12:46:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.35
328,328_58,25.903683,-77.278533,Dwarf sperm whale,Kogia sima,180492,1,2001/01/24 15:25:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,286,25.125
328,328_79,25.885283,-77.280967,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2001/09/28 17:51:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,308,25.125
328,328_102,25.9807,-77.4228,Dwarf sperm whale,Kogia sima,180492,1,2002/03/10 09:59:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,446,26.475
328,328_112,25.8884,-77.273617,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2002/08/05 16:35:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,274,26.475
328,328_124,25.99205,-77.4194,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,20,2003/02/02 15:36:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,26.925
328,328_138,25.977483,-77.410233,Dwarf sperm whale,Kogia sima,180492,2,2003/10/13 10:46:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,446,26.925
328,328_132,25.980217,-77.4206,Atlantic spotted dolphin,Stenella frontalis,552460,4,2003/06/25 10:34:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,446,26.925
328,328_154,25.944383,-77.386,Unknown large cetacean,Cetacea,180403,1,2004/07/14 16:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,NA,26.55
328,328_158,25.961783,-77.418517,Blainville's beaked whale,Mesoplodon densirostris,180517,1,2004/07/22 12:02:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,660,26.475
328,328_172,25.993883,-77.413467,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,17,2005/06/24 14:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,28.35
328,328_181,25.973483,-77.405667,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2005/08/06 10:41:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,285,28.35
328,328_7,26.539433,-77.043683,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,5,1997/08/27 11:54:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,NA
328,328_17,26.448983,-77.033667,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1998/10/31 08:39:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,26.7
328,328_11,26.453733,-77.022233,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1998/09/29 09:38:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,26.7
328,328_23,26.569017,-77.05255,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1999/10/22 09:57:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.275
328,328_53,25.897233,-77.315983,Dwarf sperm whale,Kogia sima,180492,2,2000/11/18 13:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,557,27.525
328,328_86,25.973667,-77.410283,Blainville's beaked whale,Mesoplodon densirostris,180517,2,2001/10/26 08:33:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,660,25.725
328,328_106,25.943967,-77.35095,Blainville's beaked whale,Mesoplodon densirostris,180517,2,2002/06/06 10:25:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,27,26.4
328,328_97,25.987467,-77.455,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2002/02/03 10:12:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,662,26.55
328,328_167,26.42335,-77.012767,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,19,2005/03/03 10:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,NA,27.6
328,328_184,25.902683,-77.284183,Unknown beaked whale species,Ziphiidae,180493,1,2005/08/07 11:47:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,286,27.375
328,328_16,26.573233,-77.038067,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1998/10/29 09:34:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,27.975
328,328_76,25.929617,-77.380333,Pan-tropical spotted dolphin,Stenella attenuata,180430,30,2001/07/07 14:45:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,455,25.575
328,328_94,25.8677,-77.302283,Dwarf sperm whale,Kogia sima,180492,5,2002/02/02 14:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,79,26.475
328,328_101,25.993483,-77.413717,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,11,2002/03/10 09:45:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,26.475
328,328_121,25.91585,-77.288317,Dwarf sperm whale,Kogia sima,180492,2,2002/10/20 13:18:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,138,25.95
328,328_147,25.96578,-77.4368,Sperm whale,Physeter macrocephalus,180488,1,2004/05/26 18:10:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,96,26.25
328,328_9,26.630917,-77.082567,Atlantic spotted dolphin,Stenella frontalis,552460,20,1998/09/20 08:29:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.875
328,328_5,26.4663,-77.01075,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1997/08/27 09:26:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,6,27
328,328_20,26.588867,-77.106083,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1999/09/11 11:03:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.05
328,328_19,26.5826,-77.086433,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1999/09/09 11:57:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,26.775
328,328_26,25.887033,-77.355233,Pan-tropical spotted dolphin,Stenella attenuata,180430,9,2000/05/13 18:33:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,130,26.475
328,328_35,25.968183,-77.361933,Dwarf sperm whale,Kogia sima,180492,1,2000/07/11 17:49:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,253,28.05
328,328_67,25.854733,-77.2662,Short-finned pilot whale,Globicephala macrorhynchus,180466,3,2001/03/08 13:35:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,39,25.5
328,328_60,26.565717,-76.86305,Risso's dolphin,Grampus griseus,180457,8,2001/02/15 16:10:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,52,26.625
328,328_85,25.975833,-77.401117,Unknown Kogia species,Kogia,180490,2,2001/10/25 12:44:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,361,25.725
328,328_99,25.921467,-77.354167,Cuvier's beaked whale,Ziphius cavirostris,180498,2,2002/02/03 12:03:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,646,26.625
328,328_128,25.939333,-77.363717,Blainville's beaked whale,Mesoplodon densirostris,180517,2,2003/06/09 17:07:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,309,26.4
328,328_123,25.87675,-77.2773,Dwarf sperm whale,Kogia sima,180492,3,2003/01/21 10:52:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,308,26.1
328,328_135,25.985483,-77.4425,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2003/09/10 19:05:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,662,26.925
328,328_144,25.88125,-77.26955,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2004/02/02 14:42:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,274,26.475
328,328_170,25.958867,-77.399033,Sperm whale,Physeter macrocephalus,180488,5,2005/06/16 14:51:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,285,26.85
328,328_171,25.958867,-77.399033,Sperm whale,Physeter macrocephalus,180488,5,2005/06/16 14:51:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,285,26.85
328,328_55,25.9792,-77.453083,Sperm whale,Physeter macrocephalus,180488,5,2001/01/17 09:07:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,662,25.875
328,328_3,26.641917,-77.1623,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1997/08/25 11:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,6,26.4
328,328_6,26.464117,-77.011583,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,3,1997/08/27 09:34:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,6,27
328,328_49,25.901333,-77.269333,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2000/08/15 10:58:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,299,28.8
328,328_70,25.925417,-77.3311,Dwarf sperm whale,Kogia sima,180492,3,2001/04/05 10:37:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,358,25.8
328,328_83,25.903683,-77.306767,Blainville's beaked whale,Mesoplodon densirostris,180517,1,2001/10/07 15:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,374,25.8
